User	Total Sessions	No_of_dates_phase_1	No_of_dates_phase_2	No_of_sessions_phase_1	No_of_sessions_phase_2	Total_minutes_for_sessions_phase_1	Total_minutes_for_sessions_phase_2	Time_diff_phase 1	Time_diff_btn_sessions_phase_2
caitlin	8	6	0	8	0	73.4333333333	0.0	2660.7375	0.0
nevalio	2	2	0	2	0	8.41666666667	0.0	6757.5	0.0
lusapho	21	12	3	18	3	146.583333333	79.9333333333	1374.87777778	1101.77592593
lukhanyo	19	10	1	18	1	337.516666667	18.2	1367.64537037	959.582407407
shaun	7	5	1	6	1	28.3666666667	5.0	1672.35	5560.99444444
kcee	52	22	1	51	1	791.466666667	3.0	636.696078431	140.668300654
lee-roy	23	12	1	22	1	136.883333333	1.0	1495.43787879	312.867424242
anam	21	4	7	9	12	155.8	114.916666667	1682.95925926	3345.48888889
tumie	3	3	0	3	0	20.2666666667	0.0	2379.22777778	0.0
michaela	13	8	2	11	2	74.3	9.36666666667	2821.47424242	787.148484848
jodi	4	2	1	3	1	48.2	22.0	3732.08333333	12727.9
chelsea	4	3	0	4	0	68.9333333333	0.0	5833.4125	0.0
kaylim	26	9	5	11	15	98.3333333333	129.9	1849.11363636	2602.03181818
selemela	41	17	8	27	14	364.616666667	252.733333333	1062.86111111	622.541975309
