User	Total Sessions	No_of_dates_phase_1	No_of_dates_phase_2	No_of_sessions_phase_1	No_of_sessions_phase_2	Total_minutes_for_sessions_phase_1	Total_minutes_for_sessions_phase_2	Time_diff_phase 1	Time_diff_btn_sessions_phase_2
caitlin	3	3	0	3	0	17.5833333333	0.0	5212.04444444	0.0
nevalio	1	1	0	1	0	7.41666666667	0.0	0.0	0.0
lusapho	9	6	3	6	3	19.7166666667	79.9333333333	2670.61944444	3305.32777778
lukhanyo	6	5	1	5	1	82.7333333333	18.2	3154.48666667	3454.49666667
shaun	2	1	1	1	1	3.25	5.0	0.0	33365.9666667
kcee	35	17	1	34	1	363.1	3.0	778.522058824	211.00245098
lee-roy	22	11	1	21	1	136.883333333	1.0	1227.1047619	327.765873016
anam	13	1	7	1	12	0.0	114.916666667	0.0	30109.4
tumie	1	1	0	1	0	0.0	0.0	0.0	0.0
michaela	8	5	2	6	2	24.1	9.36666666667	4345.18888889	1443.10555556
jodi	2	1	1	1	1	4.15	22.0	0.0	38183.7
chelsea	2	2	0	2	0	2.0	0.0	9322.18333333	0.0
kaylim	23	7	5	8	15	17.9666666667	129.9	2011.17916667	3577.79375
selemela	38	15	8	24	14	310.433333333	252.733333333	1109.05347222	700.359722222
