User	ActivityGoal	ActivityGraphs	Beverages	FoodAndBeverages	FoodGraphs	Game	Goals	Meals	MessageBoard	RecordWeight	ScoreBadges	ScoreBoard	ScoreGardens	ScoreTank	SelectFoodPortion	TeamProfile	Teams	TrackWeight	WeighingScale	
anam	0	72	1	47	12	0	2	2	0	0	0	0	0	0	1	0	0	0	0	
anam	0	9	0	0	0	1	1	0	1	0	6	36	3	2	0	1	0	0	4	
chelsea	0	11	20	13	5	0	0	6	0	0	0	0	0	0	27	0	0	0	0	
chelsea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jodi	0	17	0	46	5	0	3	0	0	3	0	0	0	0	2	0	0	3	7	
jodi	0	9	0	6	2	0	3	0	0	1	1	3	3	1	0	0	0	0	5	
kaylim	1	22	0	16	10	0	5	1	0	1	0	0	0	0	5	0	0	0	2	
kaylim	1	15	4	39	18	23	5	4	0	0	7	23	17	24	8	2	0	3	4	
lukhanyo	1	135	0	130	73	0	6	21	0	1	0	0	0	0	102	0	0	0	14	
lukhanyo	0	5	0	0	0	1	0	0	2	0	2	0	2	1	0	0	2	0	0	
lusapho	1	73	49	82	21	0	7	30	0	4	0	0	0	0	353	0	0	0	4	
lusapho	0	2	0	4	0	1	1	0	1	0	5	6	9	11	0	7	1	0	0	
selemela	0	114	34	233	27	0	11	29	0	2	0	0	0	0	0	0	0	3	7	
selemela	0	32	0	33	6	19	0	4	0	0	9	11	19	32	0	3	0	0	0	
caitlin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
caitlin	0	18	0	12	4	11	0	4	1	0	9	9	5	3	31	0	0	1	0	
kcee	0	5	0	2	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	
kcee	0	119	6	98	18	41	1	49	0	0	21	55	14	27	434	0	0	7	6	
lee-roy	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
lee-roy	0	28	3	30	8	19	1	7	1	5	7	29	11	19	11	1	5	5	7	
michaela	0	11	0	7	4	0	0	0	0	2	0	0	0	0	1	0	0	2	4	
michaela	0	21	0	4	1	3	1	0	2	1	1	5	7	5	0	0	0	0	3	
nevalio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
nevalio	0	1	2	2	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	
shaun	0	1	1	5	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	
shaun	0	2	1	4	4	1	0	0	1	0	3	3	3	2	0	0	1	1	3	
tumie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
tumie	0	12	4	5	2	6	0	2	0	0	1	0	1	2	14	2	0	0	0	




