Date	Logbook Users	Gamification Users	Logbook Total Sessions	Gamification Total Sessions
2015-10-18	0	0	0	0
2015-10-19	0	0	4	1
2015-10-20	0	0	7	3
2015-10-21	0	0	8	8
2015-10-22	0	0	12	12
2015-10-23	0	0	9	7
2015-10-24	0	0	3	5
2015-10-25	0	0	5	8
2015-10-26	0	0	5	3
2015-10-27	0	0	4	3
2015-10-28	0	0	3	5
2015-10-29	0	0	6	4
2015-10-30	0	0	1	6
2015-10-31	0	0	2	3
2015-11-01	0	0	2	2
2015-11-02	0	0	3	3
2015-11-03	0	0	1	2
2015-11-04	0	0	3	4
2015-11-05	0	0	2	2
2015-11-06	0	0	1	2
2015-11-07	0	0	3	1
2015-11-08	0	0	2	0
2015-11-09	0	0	0	5
2015-11-10	0	0	1	5
2015-11-11	0	0	1	4
2015-11-12	0	0	4	5
2015-11-13	0	0	1	1
2015-11-14	0	0	0	3
2015-11-15	0	0	0	5
2015-11-16	0	0	0	4
2015-11-17	0	0	2	3
2015-11-18	0	0	1	3
2015-11-19	0	0	1	1
2015-11-20	0	0	0	1
2015-11-21	0	0	0	5
2015-11-22	0	0	0	3
2015-11-23	0	0	0	1
2015-11-24	0	0	0	4
2015-11-25	0	0	0	6
2015-11-26	0	0	0	6
