User	ActivityGoal	ActivityGraphs	Beverages	FoodAndBeverages	FoodGraphs	Game	Goals	Meals	MessageBoard	RecordWeight	ScoreBadges	ScoreBoard	ScoreGardens	ScoreTank	SelectFoodPortion	TeamProfile	Teams	TrackWeight	WeighingScale	
anam	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
anam	0	9	0	0	0	1	1	0	1	0	6	36	3	2	0	1	0	0	4	
chelsea	0	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
chelsea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jodi	0	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	
jodi	0	9	0	6	2	0	3	0	0	1	1	3	3	1	0	0	0	0	5	
kaylim	0	8	0	8	8	0	1	1	0	0	0	0	0	0	5	0	0	0	0	
kaylim	1	15	4	39	18	23	5	4	0	0	7	23	17	24	8	2	0	3	4	
lukhanyo	0	19	0	46	37	0	4	8	0	0	0	0	0	0	73	0	0	0	3	
lukhanyo	0	5	0	0	0	1	0	0	2	0	2	0	2	1	0	0	2	0	0	
lusapho	1	12	6	21	9	0	4	5	0	0	0	0	0	0	6	0	0	0	0	
lusapho	0	2	0	4	0	1	1	0	1	0	5	6	9	11	0	7	1	0	0	
selemela	0	91	14	197	20	0	10	23	0	2	0	0	0	0	0	0	0	2	5	
selemela	0	32	0	33	6	19	0	4	0	0	9	11	19	32	0	3	0	0	0	
caitlin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
caitlin	0	5	0	2	0	5	0	1	0	0	5	4	2	0	13	0	0	0	0	
kcee	0	5	0	2	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	
kcee	0	63	4	60	11	24	0	32	0	0	16	37	8	17	301	0	0	1	0	
lee-roy	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
lee-roy	0	27	3	30	8	19	1	7	1	5	7	29	11	19	11	1	5	5	7	
michaela	0	11	0	7	4	0	0	0	0	2	0	0	0	0	1	0	0	2	4	
michaela	0	8	0	3	1	3	1	0	2	1	1	3	4	3	0	0	0	0	2	
nevalio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
nevalio	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	
shaun	0	1	1	5	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	
shaun	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	
tumie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
tumie	0	0	0	2	0	0	0	2	0	0	0	0	0	2	13	2	0	0	0	




