User	Total Sessions	Total Days	Total Minutes	Total Clicks
caitlin	5	3	11.17	5
nevalio	1	1	1.0	1
lusapho	12	6	10.5722222222	12
lukhanyo	13	5	19.5987179487	13
shaun	5	4	5.02333333333	5
kcee	17	5	25.1980392157	17
lee-roy	1	1	0.0	1
anam	8	3	19.475	8
tumie	2	2	9.63333333333	2
michaela	5	3	10.04	5
jodi	2	1	22.025	2
chelsea	2	1	33.4666666667	2
kaylim	3	2	26.7888888889	3
selemela	3	2	18.0611111111	3




User	Total Sessions	Total Days	Total Minutes	Total Clicks
caitlin	1	1	3.0	1
nevalio	1	1	7.41666666667	1
lusapho	4	4	1.35416666667	4
lukhanyo	3	3	4.41666666667	3
shaun	1	1	3.25	1
kcee	19	7	8.64824561404	19
lee-roy	6	6	18.4805555556	6
anam	1	1	0.0	1
tumie	1	1	0.0	1
michaela	3	2	3.0	3
jodi	1	1	4.15	1
chelsea	1	1	1.0	1
kaylim	4	4	4.24166666667	4
selemela	12	6	13.0138888889	12




User	Total Sessions	Total Days	Total Minutes	Total Clicks
caitlin	2	2	7.29166666667	2
nevalio	0	0	0	0
lusapho	2	2	7.15	2
lukhanyo	2	2	34.7416666667	2
shaun	0	0	0	0
kcee	12	7	16.2319444444	12
lee-roy	1	1	0.0	1
anam	0	0	0	0
tumie	0	0	0	0
michaela	1	1	5.06666666667	1
jodi	0	0	0	0
chelsea	0	0	0	0
kaylim	4	3	0.25	4
selemela	7	5	13.0047619048	7




User	Total Sessions	Total Days	Total Minutes	Total Clicks
caitlin	0	0	0	0
nevalio	0	0	0	0
lusapho	0	0	0	0
lukhanyo	0	0	0	0
shaun	0	0	0	0
kcee	3	3	1.33333333333	3
lee-roy	14	4	1.85714285714	14
anam	2	1	30.2583333333	2
tumie	0	0	0	0
michaela	3	3	3.77222222222	3
jodi	0	0	0	0
chelsea	1	1	0.0	1
kaylim	0	0	0	0
selemela	7	6	10.3261904762	7




User	Total Sessions	Total Days	Total Minutes	Total Clicks
caitlin	0	0	0	0
nevalio	0	0	0	0
lusapho	3	3	26.6444444444	3
lukhanyo	1	1	18.2	1
shaun	1	1	5.0	1
kcee	1	1	3.0	1
lee-roy	1	1	0.0	1
anam	10	6	5.34	10
tumie	0	0	0	0
michaela	1	1	8.08333333333	1
jodi	0	0	0	0
chelsea	0	0	0	0
kaylim	1	1	0.0	1
selemela	7	3	28.719047619	7




User	Total Sessions	Total Days	Total Minutes	Total Clicks
caitlin	0	0	0	0
nevalio	0	0	0	0
lusapho	0	0	0	0
lukhanyo	0	0	0	0
shaun	0	0	0	0
kcee	0	0	0	0
lee-roy	0	0	0	0
anam	0	0	0	0
tumie	0	0	0	0
michaela	0	0	0	0
jodi	1	1	22.0	1
chelsea	0	0	0	0
kaylim	14	4	9.27857142857	14
selemela	5	3	8.53	5




